@RELATION credit-nominal

@ATTRIBUTE checking_status {0<=X<200,<0,>=200,no checking}
@ATTRIBUTE credit_history {all paid,critical/other existing credit,delayed previously,existing paid,no credits/all paid}
@ATTRIBUTE purpose {business,domestic appliance,education,furniture/equipment,new car,other,radio/tv,repairs,retraining,used car}
@ATTRIBUTE credit_amount {0<=X<2000,10000<=X<12000,12000<=X<14000,14000<=X<16000,18000<=X<=20000,2000<=X<4000,4000<=X<6000,6000<=X<8000,8000<=X<10000}
@ATTRIBUTE saving_status {100<=X<500,500<=X<1000,<100,>=1000,no known savings}
@ATTRIBUTE employment {1<=X<4,4<=X<7,<1,>=7,unemployed}
@ATTRIBUTE personal_status {female div/dep/mar,male div/sep,male mar/wid,male single}
@ATTRIBUTE age {10<=X<20,20<=X<30,30<=X<40,40<=X<50,50<=X<60,60<=X<70,70<=X<80}
@ATTRIBUTE job {high qualif/self emp/mgmt,skilled,unemp/unskilled non res,unskilled resident,yes}
@ATTRIBUTE class {bad,good}

@DATA
<0,existing paid,radio/tv,2000<=X<4000,500<=X<1000,1<=X<4,male single,40<=X<50,skilled,good
<0,critical/other existing credit,new car,2000<=X<4000,<100,<1,male single,40<=X<50,unskilled resident,good
0<=X<200,critical/other existing credit,used car,0<=X<2000,100<=X<500,<1,male single,40<=X<50,skilled,good
no checking,critical/other existing credit,furniture/equipment,2000<=X<4000,no known savings,1<=X<4,male mar/wid,20<=X<30,skilled,good
<0,existing paid,furniture/equipment,0<=X<2000,<100,1<=X<4,male single,60<=X<70,unskilled resident,good
no checking,no credits/all paid,radio/tv,0<=X<2000,<100,>=7,male mar/wid,30<=X<40,unskilled resident,good
>=200,all paid,radio/tv,0<=X<2000,>=1000,1<=X<4,female div/dep/mar,40<=X<50,skilled,good
0<=X<200,existing paid,radio/tv,2000<=X<4000,<100,1<=X<4,male single,30<=X<40,skilled,good
<0,delayed previously,business,6000<=X<8000,<100,>=7,male single,60<=X<70,skilled,bad
0<=X<200,existing paid,business,0<=X<2000,>=1000,<1,male mar/wid,30<=X<40,skilled,good
<0,existing paid,furniture/equipment,4000<=X<6000,<100,1<=X<4,male single,20<=X<30,skilled,good
0<=X<200,existing paid,new car,4000<=X<6000,100<=X<500,1<=X<4,male single,30<=X<40,skilled,good
no checking,critical/other existing credit,business,0<=X<2000,no known savings,>=7,male single,50<=X<60,unskilled resident,good
>=200,existing paid,furniture/equipment,0<=X<2000,<100,<1,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,radio/tv,4000<=X<6000,<100,<1,male single,20<=X<30,unskilled resident,bad
no checking,critical/other existing credit,education,6000<=X<8000,<100,1<=X<4,male single,30<=X<40,skilled,good
>=200,existing paid,radio/tv,2000<=X<4000,<100,1<=X<4,male single,30<=X<40,skilled,bad
>=200,existing paid,domestic appliance,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,good
0<=X<200,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male single,20<=X<30,skilled,good
no checking,existing paid,radio/tv,2000<=X<4000,500<=X<1000,>=7,male single,30<=X<40,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,0<=X<2000,500<=X<1000,1<=X<4,male div/sep,20<=X<30,skilled,good
0<=X<200,delayed previously,repairs,6000<=X<8000,<100,1<=X<4,male single,40<=X<50,unskilled resident,good
<0,critical/other existing credit,used car,6000<=X<8000,100<=X<500,4<=X<7,male mar/wid,20<=X<30,skilled,good
<0,critical/other existing credit,used car,6000<=X<8000,<100,>=7,female div/dep/mar,50<=X<60,unskilled resident,bad
no checking,critical/other existing credit,new car,0<=X<2000,<100,<1,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,2000<=X<4000,500<=X<1000,>=7,male single,30<=X<40,skilled,good
<0,existing paid,used car,0<=X<2000,500<=X<1000,unemployed,female div/dep/mar,20<=X<30,unemp/unskilled non res,good
no checking,critical/other existing credit,new car,6000<=X<8000,<100,1<=X<4,male single,30<=X<40,unskilled resident,good
no checking,existing paid,radio/tv,2000<=X<4000,100<=X<500,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,delayed previously,furniture/equipment,2000<=X<4000,no known savings,<1,male single,20<=X<30,unskilled resident,good
0<=X<200,delayed previously,used car,4000<=X<6000,<100,>=7,male single,30<=X<40,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male single,20<=X<30,skilled,good
no checking,existing paid,used car,2000<=X<4000,no known savings,1<=X<4,male single,10<=X<20,skilled,good
0<=X<200,delayed previously,new car,2000<=X<4000,<100,>=7,male single,50<=X<60,skilled,bad
no checking,all paid,new car,0<=X<2000,no known savings,1<=X<4,male single,20<=X<30,unskilled resident,good
0<=X<200,existing paid,radio/tv,6000<=X<8000,no known savings,unemployed,male single,50<=X<60,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,8000<=X<10000,<100,1<=X<4,female div/dep/mar,30<=X<40,skilled,good
>=200,existing paid,new car,0<=X<2000,<100,>=7,female div/dep/mar,20<=X<30,high qualif/self emp/mgmt,good
<0,critical/other existing credit,furniture/equipment,6000<=X<8000,<100,<1,female div/dep/mar,20<=X<30,unskilled resident,bad
0<=X<200,existing paid,business,0<=X<2000,<100,1<=X<4,male mar/wid,20<=X<30,skilled,good
0<=X<200,critical/other existing credit,radio/tv,0<=X<2000,no known savings,>=7,male single,50<=X<60,skilled,good
0<=X<200,no credits/all paid,business,0<=X<2000,<100,>=7,male single,60<=X<70,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,14000<=X<16000,<100,1<=X<4,male single,20<=X<30,skilled,bad
no checking,existing paid,radio/tv,2000<=X<4000,<100,<1,female div/dep/mar,20<=X<30,yes,good
no checking,existing paid,repairs,4000<=X<6000,no known savings,>=7,male single,40<=X<50,skilled,good
no checking,existing paid,radio/tv,2000<=X<4000,<100,<1,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,existing paid,new car,0<=X<2000,>=1000,1<=X<4,male mar/wid,20<=X<30,skilled,good
no checking,existing paid,education,0<=X<2000,<100,1<=X<4,male single,30<=X<40,yes,bad
no checking,existing paid,radio/tv,2000<=X<4000,no known savings,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
no checking,existing paid,used car,8000<=X<10000,<100,1<=X<4,female div/dep/mar,30<=X<40,skilled,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,no known savings,>=7,male single,40<=X<50,unskilled resident,good
<0,critical/other existing credit,other,0<=X<2000,<100,>=7,male single,50<=X<60,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,business,4000<=X<6000,<100,4<=X<7,female div/dep/mar,40<=X<50,unskilled resident,good
<0,existing paid,education,0<=X<2000,no known savings,>=7,male single,40<=X<50,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,used car,0<=X<2000,<100,>=7,male single,60<=X<70,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,2000<=X<4000,<100,<1,male single,30<=X<40,skilled,bad
0<=X<200,delayed previously,radio/tv,4000<=X<6000,<100,4<=X<7,male single,50<=X<60,skilled,good
no checking,no credits/all paid,used car,8000<=X<10000,no known savings,1<=X<4,male single,30<=X<40,unskilled resident,good
0<=X<200,existing paid,furniture/equipment,2000<=X<4000,<100,<1,male mar/wid,20<=X<30,skilled,good
no checking,existing paid,radio/tv,4000<=X<6000,no known savings,<1,female div/dep/mar,40<=X<50,skilled,bad
no checking,existing paid,radio/tv,0<=X<2000,500<=X<1000,>=7,male single,40<=X<50,skilled,good
no checking,existing paid,business,0<=X<2000,100<=X<500,1<=X<4,female div/dep/mar,20<=X<30,unskilled resident,good
<0,existing paid,other,0<=X<2000,<100,>=7,female div/dep/mar,50<=X<60,unskilled resident,good
<0,existing paid,radio/tv,2000<=X<4000,<100,>=7,male single,50<=X<60,unskilled resident,good
no checking,critical/other existing credit,business,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,furniture/equipment,0<=X<2000,<100,<1,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,existing paid,education,12000<=X<14000,100<=X<500,1<=X<4,male single,40<=X<50,skilled,bad
<0,existing paid,new car,2000<=X<4000,100<=X<500,4<=X<7,male single,30<=X<40,high qualif/self emp/mgmt,good
<0,no credits/all paid,repairs,0<=X<2000,<100,4<=X<7,male single,20<=X<30,skilled,bad
no checking,critical/other existing credit,radio/tv,0<=X<2000,<100,>=7,male single,50<=X<60,skilled,good
<0,critical/other existing credit,used car,0<=X<2000,<100,>=7,male single,50<=X<60,skilled,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,no known savings,>=7,female div/dep/mar,30<=X<40,unskilled resident,bad
>=200,critical/other existing credit,furniture/equipment,2000<=X<4000,no known savings,>=7,male single,20<=X<30,skilled,good
0<=X<200,existing paid,new car,0<=X<2000,>=1000,>=7,male single,50<=X<60,skilled,good
0<=X<200,no credits/all paid,business,14000<=X<16000,<100,<1,male single,50<=X<60,skilled,bad
no checking,critical/other existing credit,education,2000<=X<4000,no known savings,4<=X<7,female div/dep/mar,60<=X<70,skilled,good
0<=X<200,existing paid,business,2000<=X<4000,100<=X<500,1<=X<4,male single,30<=X<40,skilled,good
0<=X<200,critical/other existing credit,radio/tv,2000<=X<4000,<100,>=7,male single,30<=X<40,skilled,good
0<=X<200,delayed previously,used car,6000<=X<8000,no known savings,4<=X<7,male single,30<=X<40,high qualif/self emp/mgmt,good
no checking,existing paid,new car,0<=X<2000,100<=X<500,>=7,male mar/wid,40<=X<50,unskilled resident,good
0<=X<200,existing paid,radio/tv,2000<=X<4000,<100,4<=X<7,male single,20<=X<30,skilled,good
no checking,delayed previously,radio/tv,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,0<=X<2000,<100,4<=X<7,male single,30<=X<40,skilled,good
no checking,existing paid,used car,2000<=X<4000,no known savings,<1,male mar/wid,20<=X<30,skilled,good
0<=X<200,critical/other existing credit,other,10000<=X<12000,<100,1<=X<4,male single,30<=X<40,high qualif/self emp/mgmt,bad
no checking,all paid,new car,6000<=X<8000,<100,>=7,male single,30<=X<40,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,6000<=X<8000,<100,4<=X<7,male single,30<=X<40,skilled,good
<0,existing paid,furniture/equipment,6000<=X<8000,no known savings,<1,female div/dep/mar,30<=X<40,skilled,good
0<=X<200,existing paid,business,0<=X<2000,500<=X<1000,>=7,male mar/wid,30<=X<40,skilled,good
0<=X<200,delayed previously,business,0<=X<2000,100<=X<500,>=7,male div/sep,30<=X<40,skilled,good
>=200,existing paid,education,0<=X<2000,<100,<1,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,existing paid,new car,6000<=X<8000,<100,4<=X<7,male single,20<=X<30,unskilled resident,good
no checking,critical/other existing credit,new car,6000<=X<8000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,bad
<0,existing paid,radio/tv,0<=X<2000,500<=X<1000,>=7,male mar/wid,30<=X<40,skilled,good
no checking,critical/other existing credit,radio/tv,2000<=X<4000,no known savings,>=7,male single,40<=X<50,skilled,good
<0,existing paid,radio/tv,6000<=X<8000,no known savings,4<=X<7,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,furniture/equipment,2000<=X<4000,no known savings,<1,female div/dep/mar,20<=X<30,skilled,good
<0,critical/other existing credit,furniture/equipment,4000<=X<6000,500<=X<1000,1<=X<4,female div/dep/mar,20<=X<30,skilled,bad
0<=X<200,critical/other existing credit,new car,2000<=X<4000,500<=X<1000,4<=X<7,male div/sep,30<=X<40,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,bad
no checking,critical/other existing credit,used car,2000<=X<4000,<100,>=7,female div/dep/mar,40<=X<50,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,0<=X<2000,<100,1<=X<4,male single,20<=X<30,unskilled resident,good
>=200,critical/other existing credit,new car,0<=X<2000,<100,>=7,male single,60<=X<70,skilled,good
0<=X<200,existing paid,furniture/equipment,0<=X<2000,no known savings,<1,female div/dep/mar,20<=X<30,skilled,bad
<0,critical/other existing credit,new car,2000<=X<4000,<100,1<=X<4,male single,30<=X<40,skilled,good
<0,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male mar/wid,40<=X<50,unskilled resident,good
0<=X<200,existing paid,repairs,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,bad
0<=X<200,critical/other existing credit,used car,0<=X<2000,<100,unemployed,male single,30<=X<40,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,2000<=X<4000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,bad
0<=X<200,existing paid,new car,8000<=X<10000,no known savings,4<=X<7,female div/dep/mar,20<=X<30,skilled,good
<0,delayed previously,education,6000<=X<8000,<100,1<=X<4,male single,20<=X<30,skilled,bad
no checking,existing paid,furniture/equipment,2000<=X<4000,<100,<1,male single,20<=X<30,unskilled resident,good
no checking,existing paid,furniture/equipment,0<=X<2000,<100,1<=X<4,male single,40<=X<50,skilled,good
no checking,existing paid,radio/tv,10000<=X<12000,100<=X<500,4<=X<7,female div/dep/mar,20<=X<30,skilled,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,no known savings,>=7,female div/dep/mar,30<=X<40,skilled,good
no checking,delayed previously,used car,8000<=X<10000,>=1000,1<=X<4,male single,20<=X<30,skilled,good
0<=X<200,existing paid,radio/tv,0<=X<2000,500<=X<1000,1<=X<4,male single,60<=X<70,unskilled resident,bad
0<=X<200,critical/other existing credit,radio/tv,2000<=X<4000,no known savings,4<=X<7,male single,30<=X<40,skilled,good
>=200,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,female div/dep/mar,40<=X<50,unskilled resident,good
>=200,existing paid,new car,0<=X<2000,>=1000,<1,male mar/wid,20<=X<30,unemp/unskilled non res,good
0<=X<200,existing paid,radio/tv,4000<=X<6000,<100,<1,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,2000<=X<4000,<100,1<=X<4,male single,20<=X<30,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,2000<=X<4000,<100,1<=X<4,male single,20<=X<30,skilled,bad
no checking,critical/other existing credit,furniture/equipment,2000<=X<4000,<100,<1,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,all paid,business,2000<=X<4000,100<=X<500,4<=X<7,male single,30<=X<40,skilled,good
<0,critical/other existing credit,new car,0<=X<2000,<100,>=7,female div/dep/mar,30<=X<40,skilled,good
no checking,critical/other existing credit,new car,0<=X<2000,100<=X<500,4<=X<7,female div/dep/mar,50<=X<60,skilled,good
<0,critical/other existing credit,furniture/equipment,4000<=X<6000,<100,1<=X<4,male single,20<=X<30,skilled,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,>=1000,>=7,male single,40<=X<50,skilled,good
no checking,existing paid,radio/tv,0<=X<2000,100<=X<500,>=7,male single,40<=X<50,skilled,good
no checking,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,good
>=200,existing paid,radio/tv,4000<=X<6000,<100,1<=X<4,male single,20<=X<30,skilled,good
0<=X<200,critical/other existing credit,used car,6000<=X<8000,>=1000,>=7,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,delayed previously,business,6000<=X<8000,100<=X<500,4<=X<7,male single,30<=X<40,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,bad
<0,critical/other existing credit,repairs,0<=X<2000,100<=X<500,>=7,male single,40<=X<50,skilled,good
<0,all paid,retraining,0<=X<2000,<100,>=7,male mar/wid,40<=X<50,unskilled resident,good
0<=X<200,existing paid,new car,2000<=X<4000,100<=X<500,4<=X<7,male single,30<=X<40,skilled,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,no known savings,1<=X<4,male single,30<=X<40,unskilled resident,good
no checking,critical/other existing credit,radio/tv,2000<=X<4000,100<=X<500,>=7,male single,30<=X<40,skilled,good
no checking,critical/other existing credit,new car,0<=X<2000,<100,<1,female div/dep/mar,30<=X<40,skilled,good
no checking,existing paid,domestic appliance,0<=X<2000,500<=X<1000,4<=X<7,male single,30<=X<40,skilled,good
0<=X<200,existing paid,new car,6000<=X<8000,<100,unemployed,male single,70<=X<80,high qualif/self emp/mgmt,good
no checking,existing paid,new car,0<=X<2000,500<=X<1000,>=7,male single,30<=X<40,skilled,good
no checking,existing paid,furniture/equipment,2000<=X<4000,500<=X<1000,1<=X<4,male single,30<=X<40,skilled,good
<0,existing paid,furniture/equipment,0<=X<2000,<100,unemployed,female div/dep/mar,30<=X<40,skilled,bad
0<=X<200,existing paid,furniture/equipment,0<=X<2000,>=1000,<1,female div/dep/mar,20<=X<30,skilled,good
no checking,existing paid,furniture/equipment,2000<=X<4000,<100,4<=X<7,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,critical/other existing credit,business,0<=X<2000,<100,>=7,male div/sep,30<=X<40,skilled,bad
<0,no credits/all paid,new car,0<=X<2000,<100,>=7,male single,30<=X<40,skilled,bad
no checking,existing paid,furniture/equipment,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,delayed previously,furniture/equipment,2000<=X<4000,<100,unemployed,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,good
<0,delayed previously,education,2000<=X<4000,<100,<1,male single,20<=X<30,skilled,bad
no checking,all paid,used car,6000<=X<8000,no known savings,unemployed,female div/dep/mar,50<=X<60,high qualif/self emp/mgmt,bad
<0,existing paid,furniture/equipment,2000<=X<4000,<100,1<=X<4,male div/sep,40<=X<50,skilled,good
<0,critical/other existing credit,radio/tv,0<=X<2000,500<=X<1000,>=7,male single,50<=X<60,skilled,good
no checking,existing paid,radio/tv,0<=X<2000,<100,4<=X<7,male single,30<=X<40,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,0<=X<2000,<100,>=7,male single,60<=X<70,skilled,good
no checking,delayed previously,business,8000<=X<10000,<100,<1,male div/sep,20<=X<30,skilled,bad
0<=X<200,delayed previously,business,4000<=X<6000,<100,1<=X<4,male div/sep,30<=X<40,high qualif/self emp/mgmt,bad
<0,all paid,new car,0<=X<2000,no known savings,1<=X<4,male single,40<=X<50,unskilled resident,bad
no checking,critical/other existing credit,furniture/equipment,2000<=X<4000,>=1000,1<=X<4,male single,50<=X<60,skilled,good
0<=X<200,critical/other existing credit,new car,0<=X<2000,<100,>=7,male single,30<=X<40,skilled,bad
no checking,critical/other existing credit,radio/tv,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,good
0<=X<200,all paid,used car,4000<=X<6000,<100,>=7,female div/dep/mar,70<=X<80,high qualif/self emp/mgmt,bad
0<=X<200,critical/other existing credit,new car,0<=X<2000,<100,unemployed,male single,60<=X<70,unemp/unskilled non res,good
<0,existing paid,radio/tv,0<=X<2000,100<=X<500,4<=X<7,male mar/wid,20<=X<30,skilled,bad
0<=X<200,no credits/all paid,furniture/equipment,2000<=X<4000,<100,1<=X<4,female div/dep/mar,30<=X<40,skilled,good
no checking,existing paid,business,4000<=X<6000,>=1000,1<=X<4,male single,50<=X<60,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,2000<=X<4000,100<=X<500,4<=X<7,male single,50<=X<60,unskilled resident,bad
0<=X<200,existing paid,business,2000<=X<4000,<100,1<=X<4,male single,30<=X<40,skilled,bad
no checking,existing paid,radio/tv,2000<=X<4000,<100,4<=X<7,male mar/wid,20<=X<30,skilled,good
0<=X<200,existing paid,radio/tv,2000<=X<4000,100<=X<500,1<=X<4,male single,20<=X<30,skilled,bad
0<=X<200,critical/other existing credit,education,0<=X<2000,<100,>=7,female div/dep/mar,30<=X<40,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,0<=X<2000,<100,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
0<=X<200,existing paid,furniture/equipment,0<=X<2000,100<=X<500,<1,female div/dep/mar,20<=X<30,skilled,bad
0<=X<200,existing paid,used car,2000<=X<4000,no known savings,>=7,male single,30<=X<40,skilled,good
0<=X<200,delayed previously,furniture/equipment,4000<=X<6000,<100,>=7,male div/sep,40<=X<50,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,education,0<=X<2000,500<=X<1000,>=7,male single,50<=X<60,skilled,good
<0,existing paid,new car,0<=X<2000,<100,1<=X<4,male mar/wid,20<=X<30,unskilled resident,good
no checking,delayed previously,business,4000<=X<6000,<100,4<=X<7,male single,20<=X<30,skilled,good
<0,existing paid,retraining,0<=X<2000,<100,4<=X<7,male mar/wid,20<=X<30,skilled,bad
no checking,critical/other existing credit,new car,0<=X<2000,<100,>=7,male single,30<=X<40,unskilled resident,good
<0,critical/other existing credit,used car,10000<=X<12000,<100,>=7,male single,30<=X<40,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,furniture/equipment,0<=X<2000,<100,>=7,male single,40<=X<50,skilled,good
0<=X<200,critical/other existing credit,domestic appliance,0<=X<2000,<100,4<=X<7,male single,20<=X<30,skilled,good
<0,existing paid,business,6000<=X<8000,<100,1<=X<4,male mar/wid,20<=X<30,unskilled resident,good
no checking,existing paid,used car,0<=X<2000,>=1000,4<=X<7,male single,50<=X<60,skilled,good
no checking,critical/other existing credit,radio/tv,2000<=X<4000,no known savings,1<=X<4,male single,30<=X<40,skilled,good
no checking,existing paid,radio/tv,2000<=X<4000,no known savings,>=7,female div/dep/mar,40<=X<50,unskilled resident,good
<0,no credits/all paid,business,4000<=X<6000,<100,unemployed,male single,50<=X<60,skilled,bad
>=200,delayed previously,business,0<=X<2000,<100,>=7,male single,60<=X<70,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,2000<=X<4000,no known savings,>=7,male single,50<=X<60,skilled,good
0<=X<200,critical/other existing credit,retraining,0<=X<2000,no known savings,4<=X<7,female div/dep/mar,30<=X<40,unskilled resident,good
<0,no credits/all paid,business,2000<=X<4000,<100,4<=X<7,male single,30<=X<40,skilled,good
>=200,existing paid,radio/tv,2000<=X<4000,<100,1<=X<4,male single,20<=X<30,skilled,good
<0,existing paid,furniture/equipment,2000<=X<4000,<100,1<=X<4,male div/sep,20<=X<30,unskilled resident,good
no checking,existing paid,new car,0<=X<2000,<100,1<=X<4,female div/dep/mar,60<=X<70,skilled,good
0<=X<200,existing paid,radio/tv,0<=X<2000,<100,<1,male mar/wid,20<=X<30,unskilled resident,good
<0,existing paid,education,0<=X<2000,no known savings,1<=X<4,female div/dep/mar,20<=X<30,skilled,good
no checking,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male single,30<=X<40,skilled,good
no checking,delayed previously,business,2000<=X<4000,no known savings,1<=X<4,male single,30<=X<40,skilled,good
no checking,existing paid,used car,4000<=X<6000,<100,1<=X<4,male single,30<=X<40,skilled,good
no checking,no credits/all paid,repairs,2000<=X<4000,<100,1<=X<4,male single,20<=X<30,skilled,good
0<=X<200,existing paid,radio/tv,10000<=X<12000,>=1000,4<=X<7,male single,20<=X<30,skilled,bad
<0,existing paid,furniture/equipment,6000<=X<8000,<100,>=7,male single,50<=X<60,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,0<=X<2000,<100,4<=X<7,male single,20<=X<30,skilled,bad
<0,existing paid,furniture/equipment,2000<=X<4000,<100,<1,male single,20<=X<30,skilled,good
>=200,existing paid,radio/tv,4000<=X<6000,<100,1<=X<4,male single,20<=X<30,skilled,bad
no checking,existing paid,new car,2000<=X<4000,500<=X<1000,>=7,male single,50<=X<60,unskilled resident,good
no checking,existing paid,radio/tv,2000<=X<4000,100<=X<500,4<=X<7,male single,50<=X<60,skilled,good
0<=X<200,existing paid,radio/tv,0<=X<2000,<100,1<=X<4,male mar/wid,20<=X<30,unskilled resident,good
no checking,critical/other existing credit,radio/tv,0<=X<2000,<100,4<=X<7,male single,40<=X<50,unskilled resident,good
<0,existing paid,radio/tv,0<=X<2000,<100,unemployed,male single,30<=X<40,high qualif/self emp/mgmt,bad
